名称,获利比例（%）,平均成本（元）,90%集中度（%）,90%成本最低价格（元）,90%成本最高价格（元）,70%集中度（%）,70%成本最低价格（元）,70%成本最高价格（元）
安妮股份,55.24,10.37,9.41,9.26,11.18,6.02,9.69,10.93
高科石化,2.01,24.12,13.6,22.61,29.73,8.29,23.44,27.68
力合微,6.57,53.7,16.97,49.27,69.42,11.56,50.75,64.01
秦川物联,4.37,25.11,17.32,21.44,30.42,10.35,23.82,29.32
康达新材,27.49,18.2,13.52,14.96,19.63,4.83,17.29,19.05
泰尔股份,72.01,4.78,8.28,4.21,4.97,3.8,4.56,4.92
同兴达,66.78,29.61,16.03,24.15,33.37,8.95,27.22,32.57
南京新百,21.88,14.4,31.7,8.78,16.94,22.11,10.02,15.7
维信诺,15.03,15.38,17.26,12.2,17.29,9.24,13.87,16.69
中威电子,32.73,8.5,14.98,6.98,9.44,11.19,7.38,9.23
国联证券,22.85,18.09,6.83,16.54,18.96,5.48,16.73,18.67
数知科技,55.67,8.93,10.9,8.09,10.07,7.73,8.35,9.75
博汇科技,5.58,79.73,21.55,66.06,102.35,7.14,73.6,84.91
安车检测,55.15,69.85,25.35,45.44,76.3,13.68,56.67,74.62
闻泰科技,16.95,136.45,17.72,107.76,154.19,11.47,118.72,149.49
京北方,6.24,62.78,12.71,53.07,68.53,7.49,57.74,67.09
卫光生物,14.68,62.49,19.49,46.83,69.5,10.91,53.84,67.03
ST宇顺,85.02,10.61,15.34,9.28,12.64,11.48,9.65,12.16
曲江文旅,46.6,8.04,10,7.2,8.8,6.74,7.45,8.53
同德化工,19.13,7.39,22.16,5.15,8.09,9.11,6.61,7.93
振芯科技,14.73,15.83,11.03,13.94,17.4,6.9,14.53,16.68
申联生物,5.75,24.6,15.22,20.86,28.35,9.49,22.33,27.01
兆驰股份,28.62,6.9,22.45,4.77,7.53,17.38,5.19,7.37
双象股份,44.42,18.56,13.48,15.28,20.04,8.96,16.39,19.61
筑博设计,10.48,31.75,12.58,28.54,36.76,7.99,29.44,34.55
华盛昌,9.34,67.76,14.24,56.17,74.82,9.27,59.19,71.29
中石科技,5.56,32.69,12.57,29.61,38.12,6.83,31.2,35.78
中闽能源,45.09,3.85,12.86,3.22,4.17,9.12,3.39,4.07
盐津铺子,83.37,105.32,42.54,59.69,148.06,23.75,87.21,141.54
开普云,3.29,69.57,14.34,63.58,84.86,7.05,67.18,77.37
全 聚 德,32.65,11.65,15.88,9.37,12.91,9.22,10.53,12.66
财富趋势,10.52,271.13,12.19,229.75,293.54,8.95,236.65,283.19
领益智造,13.73,11.71,7.36,10.83,12.56,4.71,11.13,12.23
ST中捷,57.51,2.64,22.35,1.98,3.12,17.76,2.06,2.95
联瑞新材,9.76,61.5,16.93,53.65,75.52,8.66,56.18,66.83
吉比特,42.91,578.92,25.74,376.31,637.11,21.54,404.33,626.34
三晖电气,17.15,13.45,10.77,11.97,14.86,7.04,12.57,14.47
崇达技术,5.55,19.57,14.65,17.14,23.03,6.04,18.42,20.79
万讯自控,43.94,9.01,14.47,7.48,10.01,9.05,8.18,9.81
奥赛康,4.53,19.42,10.33,17.39,21.4,7.34,18.07,20.93
启明星辰,2.16,39.68,10.19,36.36,44.62,6.39,37.44,42.56
宏达新材,25.53,6.39,11.6,5.41,6.82,6.51,5.89,6.71
厦门信达,75.22,5.8,17.34,4.61,6.55,12.19,4.94,6.32
顺鑫农业,75.68,62.48,16.3,53.13,73.83,12.04,54.52,69.45
双成药业,41.28,5.44,8.17,5.1,6.01,4.12,5.21,5.66
恒林股份,28.76,78.82,25.39,52.32,87.92,16.11,61.81,85.54
德赛电池,34.88,53.79,15.68,43.05,59.06,10.09,46.95,57.5
健盛集团,58.51,9.2,10.1,8.19,10.03,7.13,8.47,9.77
南岭民爆,50.96,8.51,22.33,5.86,9.22,17.2,6.33,8.96
鹏鼎控股,70.29,48.59,13.14,40.14,52.28,5.09,45.95,50.88
华熙生物,9.21,133.32,12.92,113.57,147.26,6.97,124.02,142.61
振华股份,29.75,7.11,21.26,5.69,8.76,12.68,6.1,7.87
旋极信息,12.61,7.37,13.43,6.43,8.42,10.08,6.65,8.14
理工光科,17.46,32.8,16.9,26.88,37.8,8.53,29.64,35.17
ST宏盛,98.25,10.14,10.26,9.41,11.56,6.91,9.71,11.15
卓易信息,5.06,92.44,18.73,77.79,113.65,11.88,84.35,107.09
银信科技,22.31,11.07,10.51,9.66,11.93,6.22,10.4,11.78
潮宏基,89.84,3.73,8.79,3.32,3.96,6.01,3.44,3.88
迈得医疗,3.94,41.38,15.91,35.52,48.96,8.94,38.62,46.2
爱柯迪,80.07,13.48,18.83,10.01,14.66,10.94,11.42,14.22
南微医学,30.14,224.11,22.28,164.31,258.54,10.27,197.83,243.13
派生科技,20.6,9.34,26.88,6.12,10.63,13.39,7.93,10.39
冠昊生物,8.33,28.33,20.77,23.84,36.33,13.24,25.67,33.5
赛升药业,6.08,18.94,16.01,16.39,22.64,8.3,17.9,21.14
花王股份,60.31,7.6,16.03,6.2,8.56,11.57,6.64,8.38
宗申动力,14.93,9.29,20.36,6.63,10.02,8.51,8.29,9.83
理工环科,48.85,14.77,20.04,11.14,16.72,16.67,11.68,16.35
朗玛信息,34.51,13.42,12.09,11.68,14.9,7.7,12.52,14.61
来伊份,3.97,18.58,15.39,15.69,21.4,10.91,16.66,20.73
神州信息,41.68,17.65,15.21,14.92,20.28,8.23,16.39,19.33
密尔克卫,46.8,121.97,37.18,71.59,156.32,23.96,94.49,154.03
山东华鹏,11.2,7.1,15.08,5.91,8,8.69,6.52,7.76
吉视传媒,88.02,2.27,8.48,2.05,2.43,5.1,2.14,2.37
绿景控股,25.08,7.35,13.54,6.59,8.65,7.8,7.01,8.2
健民集团,61.75,24.84,32.68,15.59,30.73,25.74,17.67,29.93
中密控股,76.72,39.26,29.71,24.68,45.54,22.12,28.07,44.01
安洁科技,4.01,24.58,9.24,22.49,27.07,4.24,23.49,25.58
飞凯材料,3.77,23.17,15.61,20.23,27.72,8.4,21.39,25.31
国机通用,56.09,10.66,10.14,9.24,11.32,8.11,9.51,11.19
力源信息,26.15,7.14,9.08,6.48,7.78,7.16,6.62,7.64
金明精机,22.89,7.58,10.28,6.85,8.42,7.33,7.04,8.15
福建金森,15.09,12.33,17.12,10.37,14.65,11.19,11.18,13.99
星徽精密,16.13,24.62,18.99,19.42,28.52,16.07,20,27.65
松霖科技,5.59,16.71,21.54,15.56,24.1,16.92,16.13,22.7
明德生物,10.91,83.8,16.42,72.61,101.14,8.74,75.96,90.51
优德精密,46.61,13.02,16.51,11.1,15.49,12.34,11.43,14.65
花园生物,11.6,16.53,9.9,14.65,17.87,6.61,15.36,17.53
华民股份,70.39,8.41,20.16,6.33,9.53,14.22,6.86,9.13
海量数据,13.06,22.3,21.75,17.49,27.22,13.82,18.82,24.86
杭钢股份,4.2,8.26,19.91,6.91,10.34,12.83,7.4,9.58
东宏股份,16.64,18.17,11.24,15.86,19.88,7.75,16.38,19.13
弘宇股份,52.32,43.19,21.13,34.22,52.55,16.25,36.89,51.21
卧龙电驱,64.18,12.67,12.26,10.79,13.8,7.4,11.6,13.46
大业股份,34.68,9.02,10.39,7.75,9.55,4.76,8.45,9.3
路通视信,24.3,10.57,15.86,8.73,12.03,11.4,9.28,11.67
普元信息,5.37,41.5,15.54,36.4,49.79,8.09,38.95,45.8
高能环境,46.12,15.74,21.41,11.2,17.3,16.86,12.09,16.99
国轩高科,3.14,26.26,15.92,22.69,31.29,7.9,24.68,28.91
和远气体,3.34,26.06,6.81,23.87,27.36,3.59,25.09,26.95
恒锋信息,27.52,15.24,9.58,13.58,16.45,6.4,14.25,16.2
喜临门,90.58,12.37,12.14,10.94,13.96,9.52,11.31,13.68
超频三,14.73,12.22,17.99,10.57,15.21,14.27,11,14.66
上峰水泥,25.13,27.78,13.33,23.13,30.25,9.47,24.41,29.52
兆易创新,4.05,220.82,20.92,179.8,274.93,11.78,192.89,244.38
捷昌驱动,87.54,57.25,41.32,32.07,77.24,31.6,37.26,71.68
中国宝安,5.69,8.15,20.14,6.91,10.4,15.59,7.27,9.96
协鑫能科,15.04,6.01,8.01,5.5,6.46,4.89,5.7,6.29
麒盛科技,7.29,33.24,9.65,30.43,36.94,5.91,31.84,35.84
沃尔德,2.88,48.79,17.79,44.65,63.97,10.32,47.24,58.1
杭锅股份,69.35,8.58,14.73,7.18,9.66,10.3,7.6,9.34
宜宾纸业,82.83,11.03,9.41,9.82,11.86,6.54,10.09,11.5
柯利达,33.71,6.35,22.6,4.79,7.59,17.6,5.13,7.32
亚太药业,28.58,5.9,11.21,4.99,6.25,5.82,5.41,6.08
太龙照明,84.13,20.82,21.78,16.19,25.2,16.87,17.56,24.68
*ST界龙,46.7,5.37,15.11,4.62,6.26,7.81,4.95,5.78
三星新材,25.95,23.68,12.06,20.44,26.04,8.39,21.13,25
英杰电气,8.49,57.72,9.16,52.01,62.49,6.17,54.39,61.54
*ST奋达,38.84,5.73,35.37,3.14,6.58,22.97,3.96,6.32
南  玻Ａ,16.76,5.95,18.4,4.58,6.64,10.09,5.3,6.49
西安饮食,24.3,5.06,5.56,4.76,5.32,3.09,4.86,5.18
九鼎新材,8.6,15.48,12.47,13.74,17.66,8.92,14.42,17.25
铜峰电子,96.51,4.53,10.89,3.97,4.94,6.65,4.19,4.79
华东医药,29.04,26.71,20.73,19.33,29.43,12.21,22.26,28.45
鼎胜新材,11.44,15.73,12.04,13.48,17.18,9.17,13.94,16.76
永安行,18.07,22.14,12.93,18.06,23.43,5.46,20.68,23.08
江海股份,32.4,10.38,10.79,8.91,11.07,7.61,9.39,10.94
奇正藏药,31.12,31.76,37.8,19.02,42.14,30.82,20.84,39.41
科创信息,35.47,16.4,14.2,14.16,18.85,10.2,14.87,18.25
深振业Ａ,6.5,7.57,21.55,5.82,9.01,16.29,6.16,8.56
南大光电,4.37,39.85,11.56,36.16,45.61,6.63,37.59,42.94
迅游科技,29.3,18.91,13.79,16.77,22.13,10.61,17.51,21.66
银河磁体,65.08,19.24,13.22,17,22.17,8.64,18.02,21.42
众源新材,3.26,10.36,10.06,9.36,11.45,8.11,9.54,11.22
鸿泉物联,3.33,46.85,15.35,40.79,55.59,9.41,43.22,52.19
国星光电,7.54,13.42,10.13,12.06,14.78,4.88,12.85,14.16
海澜之家,83.09,6.2,11.44,5.66,7.12,8.57,5.81,6.9
中材科技,34.33,19.15,30.73,11.85,22.37,19.28,14.37,21.24
西部建设,61.35,10.88,9.45,9.91,11.97,5.77,10.23,11.49
永太科技,29.12,12.52,9.39,11.71,14.14,3.61,12.1,13
兴业股份,84.25,12.11,12.3,10.19,13.05,9.57,10.52,12.75
五洋停车,18.33,7.69,9.62,6.95,8.43,6.28,7.19,8.16
爱乐达,40.02,55.11,35.65,29.36,61.89,24.12,36.68,59.99
延江股份,83.76,33,12.85,29.84,38.63,9.06,30.89,37.05
浙矿股份,7.63,68.94,11.29,63.17,79.24,7.81,65.64,76.77
伯特利,20.59,37.25,21.15,26.73,41.07,8.78,33.29,39.69
成飞集成,31.91,30.09,23.94,21.16,34.49,15.15,23.93,32.48
恒誉环保,4.51,54.01,17.7,42.57,60.88,10.5,47.15,58.21
森霸传感,7.02,40.37,10.33,35.47,43.64,6.13,37.51,42.41
星网锐捷,2.06,33.35,16.87,28.22,39.67,12.87,29.53,38.25
甘源食品,12.5,135.09,9.9,120.02,146.39,6.73,125.3,143.38
新媒股份,18.26,113.98,19.02,88.39,129.92,12.42,94.68,121.53
名雕股份,79.02,14.05,9.5,12.34,14.93,5.23,13.2,14.65
佳电股份,47.3,6.88,12.52,5.96,7.67,9.86,6.11,7.45
特锐德,2.7,20.86,11.96,18.92,24.07,6,19.92,22.46
建新股份,47.18,6.93,13.8,5.86,7.73,9.23,6.21,7.48
贵绳股份,72.8,7.07,10.42,6.15,7.58,8.09,6.34,7.46
大禹节水,35.3,6.2,13.37,5.17,6.76,6.28,5.82,6.6
新文化,20.38,5.57,12.76,4.95,6.4,10.06,5.11,6.25
雷赛智能,18.95,41.3,9.14,36.41,43.74,6.85,37.74,43.3
新亚强,22.57,35.21,22.78,31.73,50.45,11.87,32.11,40.77
方正科技,33.68,4.75,24.97,3.37,5.61,19.39,3.67,5.44
新光药业,34.11,17.84,9.99,16.31,19.93,6.01,16.82,18.97
健康元,34.07,18.84,25.63,12.39,20.94,20.4,13.52,20.45
时空科技,10,69.53,11.64,62.2,78.59,7.76,64.14,74.92
东软载波,5.75,21.34,11.03,19.4,24.21,6.42,20.23,23
三丰智能,19.68,6.62,17.92,5.09,7.31,12.1,5.54,7.07
旗滨集团,24,8.45,29.75,5.11,9.44,17.41,6.45,9.18
志邦家居,60.18,31.65,22.77,25.53,40.58,16.81,27.02,37.94
安徽合力,56.75,11.27,22.46,8.88,14.02,17.64,9.12,13.02
我武生物,29.76,60.34,19.45,44.23,65.58,9.64,52.89,64.17
张家界,81.82,5.36,11.68,4.72,5.96,8.01,4.89,5.74
西宁特钢,69.09,3.41,11.7,2.98,3.77,7.74,3.1,3.62
四川九洲,36.64,6.38,14.77,5.41,7.28,10.52,5.69,7.03
天下秀,15.55,20.09,12.67,18.17,23.45,8.22,18.75,22.11
伊戈尔,64.52,14.96,9.48,13.09,15.83,5.86,13.96,15.7
长城科技,9.7,20.28,7.21,18.42,21.28,3.42,19.48,20.86
爱博医疗,12.89,224.46,17.67,199.31,284.84,12.81,202.66,262.2
和顺电气,11.83,10.8,11.83,9.86,12.5,7.06,10.13,11.67
泽达易盛,2.79,61.99,20.61,52.63,79.95,12.36,57.44,73.63
北方股份,26.95,19.48,17.32,15.54,22.05,11.58,16.79,21.19
凯龙股份,98.65,12.57,17.37,9.54,13.55,10.49,10.78,13.31
新宝股份,50.98,38.1,42.67,19.4,48.28,27.34,25.79,45.2
江苏新能,10.34,14.32,12.57,12.11,15.59,9.7,12.6,15.31
常熟汽饰,17.77,15.24,15,12.17,16.46,7.14,13.96,16.11
新元科技,13.03,11.37,9.4,10.48,12.65,6.73,10.64,12.18
博世科,40.14,12.52,8.81,11.12,13.27,5.03,11.81,13.06
七彩化学,19.21,30.56,20.64,23.43,35.63,12.08,27.08,34.52
华光新材,6.88,32.41,18.11,28.42,40.99,10.28,29.62,36.4
振东制药,40.17,6.3,11.82,5.47,6.93,7.29,5.88,6.81
南威软件,19.23,13.74,11.18,11.89,14.88,7.08,12.71,14.64
金海环境,31.7,14.08,15.71,11.57,15.88,12.36,12.03,15.42
万邦德,49.05,13.6,15.17,12.22,16.59,11.53,12.4,15.63
成都先导,2.5,45.61,16.74,39.76,55.75,11.02,40.93,51.07
莎普爱思,60.26,9.21,15.57,7.64,10.46,11.04,8.19,10.23
科蓝软件,8.65,31.79,9.97,28.45,34.75,6.87,29.32,33.64
居然之家,38.77,9.51,12.47,7.97,10.24,8.05,8.45,9.93
新坐标,70.27,31.06,25.21,21.04,35.23,16.42,24.26,33.8
博闻科技,11.69,9.67,16.17,8.11,11.24,10.18,8.66,10.62
维尔利,40.02,9.19,17.75,7,10.02,11.97,7.75,9.86
金枫酒业,48.08,4.95,19.72,3.61,5.39,12.19,4.13,5.28
绿茵生态,11.95,14.1,8.83,12.54,14.98,5.08,13.32,14.75
华兴源创,1.86,43.09,14.75,38.97,52.45,9.91,40.4,49.28
阿尔特,16.07,23.52,9.67,20.96,25.44,7.46,21.47,24.93
以岭药业,2.86,30.64,13.1,27.13,35.31,7.55,28.63,33.31
恒锋工具,68.83,16.36,10.6,14.77,18.28,8.67,15.03,17.88
扬子新材,36.24,4.19,15.39,3.38,4.61,11.13,3.5,4.37
泰和科技,20.48,31.56,10.85,27.62,34.34,8.23,28.43,33.53
万泰生物,9.64,212.88,20.76,174.73,266.28,13.24,193.8,252.93
江淮汽车,2.73,9.47,14.03,8.01,10.62,7.82,8.63,10.1
苏奥传感,25.64,12.79,12.58,11.18,14.4,8.34,11.88,14.04
亚玛顿,6.93,36.59,17.27,32.38,45.89,11.5,33.78,42.56
醋化股份,33.54,17.75,18.06,13.42,19.34,13.38,14.53,19.02
元祖股份,49.54,18.6,13.85,16.05,21.21,11.01,16.61,20.71
步 步 高,32.71,12.83,23.4,9.07,14.61,17.13,9.81,13.87
京山轻机,18.44,6.72,9.86,6.06,7.39,6.17,6.32,7.15
华峰氨纶,75.35,7.29,24.74,5.11,8.47,20.32,5.31,8.03
郑煤机,81.72,7.79,31.18,5.3,10.1,20.93,6.34,9.69
久日新材,3.75,60.69,14.78,52.58,70.82,8.56,55.22,65.55
宜华健康,16.9,3.76,17.4,3.56,5.06,5,3.63,4.01
良品铺子,11.35,72.47,13.45,61.21,80.23,9.45,64.72,78.23
ST岩石,22.68,9.12,24.94,8.26,13.75,18.51,8.49,12.35
芯瑞达,4.44,43.38,19.49,36.01,53.43,10.31,39.36,48.41
中孚信息,3.48,58.2,15.07,50.16,67.97,8.85,52.55,62.76
鄂尔多斯,20.75,9.6,22.16,7.13,11.19,13.94,8.03,10.64
开尔新材,42.95,7.95,16.58,6.84,9.56,10.52,7.28,8.99
顺灏股份,9.83,5.32,11.33,4.94,6.2,6.06,5.1,5.76
曲美家居,46.76,9.76,23.25,6.93,11.14,15.27,8.03,10.92
云海金属,12.47,11.53,14.67,9.43,12.67,7.64,10.64,12.39
大立科技,4.54,27.55,12.85,23.44,30.36,7.42,25.65,29.75
矩子科技,43.8,39.64,17.38,32.12,45.64,10.95,35.3,43.98
中京电子,49.05,14.72,8.11,13.49,15.87,5.27,13.99,15.55
ST凯瑞,13.13,5.19,6.19,5,5.66,4.06,5.07,5.5
海南高速,14.41,5.91,14.62,5.07,6.81,9.01,5.52,6.62
朗进科技,47.42,27.7,6.47,26.03,29.63,4.68,26.52,29.13
普丽盛,85.32,23.19,25.94,15.64,26.6,19.67,17.3,25.77
中曼石油,5.61,13.31,5.41,12.43,13.85,4.42,12.56,13.72
美凯龙,83.48,9.87,10.88,8.53,10.61,4.81,9.25,10.18
富森美,45.07,15.41,17.77,11.51,16.49,14.25,12.19,16.25
爱施德,23.69,9.79,26.63,7.16,12.36,15.02,8.22,11.13
顺络电子,5.92,24.88,10.72,22.08,27.39,6.86,23.45,26.91
中材节能,50.94,4.62,9.76,4.07,4.95,6.56,4.27,4.87
旗天科技,21.12,6.4,18.78,5.21,7.62,15.04,5.42,7.33
天桥起重,82.12,2.68,8.86,2.47,2.95,5.26,2.52,2.8
同达创业,36.57,14.93,12.44,12.54,16.11,8.57,13.11,15.57
中嘉博创,4.96,7.21,12.75,6.5,8.4,8.5,6.76,8.02
汤臣倍健,24.25,23.95,14.66,18.87,25.35,9.04,20.82,24.96
恩华药业,17.2,17.38,17.43,13.81,19.64,8.92,15.63,18.69
德艺文创,17.43,9.47,10.73,8.58,10.64,8.06,8.82,10.36
神驰机电,4.87,31.09,12.79,26.66,34.48,7.21,28.56,33
云涌科技,3.95,150.52,23.15,117.33,188.03,13,130.32,169.28
冠盛股份,8.75,21.75,16.67,19.28,26.99,7.87,20.18,23.62
龙软科技,3.74,41.22,10.55,38.07,47.05,4.24,39.47,42.97
深大通,4,14.66,16.36,12.24,17.02,11.44,12.69,15.97
三利谱,2.38,46.74,13.68,42.03,55.34,8.99,43.55,52.15
首商股份,35.69,10.33,33.3,6.26,12.52,21.96,7.66,11.97
数码科技,49.93,5.62,14.17,4.9,6.52,10.71,5.06,6.27
均胜电子,16.17,23.24,13.83,19.97,26.38,7.1,21.38,24.65
凤形股份,12.1,22.65,9.8,19.92,24.25,3.77,21.79,23.5
苑东生物,13.2,60.1,23.02,50.54,80.77,18.8,51.32,75.08
艾比森,16.57,11.11,10.2,9.96,12.23,7.82,10.31,12.05
宇晶股份,4.56,27.57,11.84,23.68,30.04,6.86,25.8,29.6
信捷电气,56.03,70.12,37.42,37.3,81.92,31.09,42.1,80.07
康力电梯,53.44,11.63,15.52,9.36,12.8,9.14,10.46,12.56
老百姓,87.64,71.54,22.83,55.68,88.61,16.2,58.07,80.53
会畅通讯,4.05,43.64,12.75,38.14,49.28,7.16,40.7,46.97
远大控股,29.44,7.35,15.4,6.08,8.29,11.3,6.26,7.85
同有科技,32.93,16.11,14.04,13.69,18.17,8.67,14.87,17.7
立华股份,5.59,43.04,9.4,38.73,46.76,5.79,40.03,44.95
ST厦华,46.02,2.87,14.33,2.6,3.47,9.09,2.7,3.24
四环生物,9.2,5.54,18.42,4.62,6.7,12.92,4.91,6.37
中兴通讯,3.01,39.16,12.92,35.01,45.39,6.19,37.81,42.8
大为股份,6.93,17.38,9.28,15.97,19.24,5.26,16.48,18.31
安必平,5.89,50.17,17,43.51,61.33,9.95,45.66,55.75
金刚玻璃,26.17,12.18,10.98,11.11,13.84,6.43,11.67,13.28
红蜻蜓,20.93,7.83,16.51,6.46,9.02,10.92,6.92,8.61
泰达股份,2.04,6.51,17.29,5.48,7.78,11.06,5.88,7.34
广电计量,44.52,30.78,13.87,25.56,33.79,10.16,27.07,33.19
恒源煤电,61.01,5.18,11.51,4.38,5.52,8.19,4.59,5.41
景津环保,28.4,21.5,6.65,20.21,23.09,4.67,20.64,22.66
中航电测,48.47,14.85,19.39,10.9,16.14,8.83,13.27,15.84
国盛智科,3.65,36.45,15.27,31.39,42.71,6.02,33.8,38.13
新筑股份,1.74,6.06,9.24,5.46,6.58,6.04,5.61,6.34
当虹科技,5.98,87.6,14.78,80.22,108.04,8.48,82.78,98.11
海利尔,64.01,22.49,13.97,19.27,25.52,9.11,20.22,24.27
再升科技,23.26,15.08,18.34,11.78,17.07,10.86,13.32,16.56
一拖股份,26.04,12.68,21.88,9.07,14.14,15.75,10.02,13.76
中国软件,8.01,101.25,16.98,83.39,117.49,9.76,91.91,111.81
聚光科技,45.04,16.9,11.94,14.51,18.45,6.39,15.84,18
湘邮科技,7.07,14.22,9.26,12.83,15.44,4.42,13.59,14.85
移远通信,15.42,208.7,10.53,184.43,227.82,7.12,191.78,221.2
丰山集团,11.06,37.04,14.96,28.88,39.04,8.24,32.58,38.43
瀛通通讯,5.05,27.33,11.14,25.53,31.94,6.43,26.71,30.37
越秀金控,22.2,22.21,39.88,10.71,24.92,31.43,12.26,23.5
瑞芯微,5.71,81.22,16.78,68.5,96.13,9.46,75.52,91.3
天孚通信,33.89,64.43,21.84,46.51,72.5,17.52,49.29,70.23
强力新材,4.49,17.8,10.79,16.45,20.43,4.81,16.94,18.66
和而泰,8.28,17.23,9.83,15.77,19.21,6.97,16.35,18.79
天润乳业,32.92,17.36,14.08,14.15,18.79,9.89,15.13,18.45
ST巴士,1.93,3.97,18.98,3.42,5.03,13.98,3.5,4.64
鸣志电器,85.55,13.9,29.79,11.44,21.15,25.96,11.98,20.37
胜利股份,41.81,4.01,17.23,3.18,4.5,12.61,3.38,4.35
S佳通,27.8,14.69,8.94,12.89,15.42,7.3,13.13,15.2
五 粮 液,87.8,203.63,35.19,113.57,236.91,24.59,135.1,223.21
先进数通,30.39,22.18,12.24,18.55,23.72,7.64,19.87,23.16
水晶光电,6.7,16.24,9.9,15.01,18.31,4.51,15.4,16.85
宝利国际,44.33,3.54,33.88,2.41,4.87,23.23,2.89,4.64
福蓉科技,4.65,28.15,10.08,24.87,30.45,6.05,25.99,29.34
潜能恒信,27.98,20.8,13.42,17.19,22.52,8.87,18.24,21.8
森特股份,56.07,9.72,8.82,8.87,10.58,5.96,9.18,10.34
多伦科技,24.4,10.92,21.17,7.9,12.15,11.81,9.29,11.78
通产丽星,10.11,16.14,16.96,13,18.31,11.51,13.67,17.23
甘咨询,15.72,11.42,8.26,10.4,12.27,4.95,10.77,11.9
祁连山,15.39,19.68,14.4,16.1,21.51,11.28,16.68,20.92
新宏泰,47.05,25.82,20.01,20.41,30.62,13.61,22.35,29.39
海鸥股份,61.28,13.03,8.28,11.89,14.03,6.54,12.08,13.77
纽威股份,30.19,15.62,17.13,11.97,16.92,13.66,12.6,16.58
北化股份,15.83,8.35,9.71,7.5,9.12,6.47,7.86,8.95
海印股份,28.15,3.61,15.3,2.84,3.87,8.57,3.21,3.82
联化科技,84.32,25.13,32.26,14.89,29.07,24.39,16.57,27.27
奥 特 迅,0.67,14.36,11.17,13.35,16.7,6.99,13.75,15.82
双林生物,34.06,38.37,38.9,20.57,46.75,20.55,29.15,44.24
华荣股份,45.33,18.2,35.83,9.69,20.51,19.8,12.93,19.31
中远海科,6.8,16.16,12.41,14.06,18.04,5.7,15.16,17
心脉医疗,9.15,286.52,18.92,232.94,341.65,11.74,258.96,327.87
德马科技,4.9,49.24,18.36,42.82,62.08,10.01,46.16,56.43
新莱应材,24.99,21.41,11.51,18.76,23.63,8.23,19.5,23
富祥药业,5.87,20.11,9.13,18.28,21.95,5.37,19.11,21.28
宝色股份,47.36,12.99,28.56,8.74,15.73,21.49,9.79,15.15
阳谷华泰,67.49,9.09,21.62,6.96,10.8,17.91,7.22,10.37
奥美医疗,6.87,28.74,15.63,24.7,33.85,7.89,26.36,30.88
神剑股份,9.31,5.47,13.31,4.8,6.27,8.35,5.09,6.02
长川科技,14.53,29.91,11.79,27.28,34.57,6.59,27.98,31.93
小熊电器,9.99,139.15,13.26,119.09,155.5,7.97,128.75,151.04
莱茵生物,4.4,9.44,16.63,8.48,11.87,8.42,9,10.65
海伦钢琴,37.91,8.2,13.85,6.98,9.22,9.2,7.45,8.96
科林电气,47.74,13.53,8.64,12,14.27,5.71,12.59,14.12
国农科技,4.32,27.48,17.86,23.02,33.03,12.4,23.82,30.56
奥翔药业,23.55,44.35,44.22,20.78,53.73,32.02,25.32,49.18
*ST安信,26.77,2.16,28.89,1.87,3.4,24.49,1.93,3.18
美尚生态,15.65,9.29,14.16,8.31,11.05,7.97,8.49,9.96
*ST江特,59.88,1.87,24.46,1.37,2.25,16.13,1.58,2.19
登云股份,46.7,26.79,22.33,18.61,29.31,13.28,22.03,28.77
沪硅产业-U,16.57,42.41,13.21,38.38,50.06,7.67,38.78,45.23
天齐锂业,4.2,24.98,18.38,19.81,28.73,11.22,21.79,27.29
百合花,2.8,17.6,8.16,16.23,19.11,3.89,16.99,18.36
青岛啤酒,45.67,77.31,31.71,45.08,86.94,21.25,54.29,83.59
菲达环保,25.41,5.9,12.12,5.03,6.42,8.05,5.26,6.18
张江高科,15.52,21.6,17.43,16.5,23.47,7.25,19.56,22.62
航天彩虹,8.42,23.74,17.43,20.17,28.68,10.49,21.68,26.76
东方雨虹,68.71,51.79,25.33,35.91,60.27,19.81,37.87,56.58
甬金股份,32.25,33.96,13.2,29.25,38.14,7.13,32.48,37.47
兴业矿业,21.57,8.52,23.61,6.33,10.25,14.44,7.32,9.8
朝阳科技,4.7,39.14,11.71,34.34,43.45,4.61,37.22,40.82
美克家居,64.46,5.13,17.7,4.21,6.02,12.53,4.52,5.81
澳柯玛,11.03,8.05,23.32,6.24,10.04,14.26,6.77,9.02
久吾高科,32.99,20.45,10.14,18.45,22.62,7.73,19.05,22.24
兴民智通,53.6,6.05,9.23,5.44,6.55,6.68,5.58,6.38
传艺科技,6.57,21.03,14.11,17.59,23.37,10.3,18.5,22.74
圣湘生物,21.35,106.56,17.43,96.84,137.73,7.98,98.05,115.06
硕世生物,10.61,241.71,33.19,189.79,378.37,22.72,195.25,310.04
黑牡丹,22.46,8.64,11.29,7.7,9.66,8.12,7.92,9.32
联诚精密,14.18,22.81,8.06,20.59,24.2,5.33,21.37,23.78
盛和资源,19.78,8.42,12.17,7.35,9.39,9.78,7.54,9.18
中广核技,24.69,10.18,25.45,6.99,11.75,19.51,7.36,10.93
万年青,25.46,17.63,19.5,13.24,19.65,12.02,15.05,19.17
皖仪科技,2.96,27.29,23.87,22.46,36.56,12.77,24.94,32.25
*ST大晟,57.07,3.04,24.66,2.69,4.44,9.01,2.86,3.43
银座股份,62.11,6.85,28.9,4.4,7.97,24.24,4.66,7.64
