名称,获利比例（%）,平均成本（元）,90%集中度（%）,90%成本最低价格（元）,90%成本最高价格（元）,70%集中度（%）,70%成本最低价格（元）,70%成本最高价格（元）
格力地产,7.64,13.36,20.95,11.09,16.96,13.38,11.66,15.26
证通电子,3.26,11.11,10.72,10,12.4,5.45,10.57,11.79
粤 传 媒,15.68,5.15,9.02,4.59,5.5,4.7,4.87,5.35
冀东水泥,2.72,18.38,8.71,16.55,19.72,5.51,17.22,19.23
中宠股份,15.72,44.98,14.52,35.97,48.19,7.74,40.57,47.39
ST金泰,52.2,6.51,10.6,5.88,7.28,6.3,6.14,6.96
陕天然气,34.34,6.71,10.34,5.74,7.06,6.8,6.02,6.9
罗莱生活,77.34,10.42,19.75,8.34,12.44,12.51,9.15,11.77
智能自控,55.79,8.11,8.86,7.31,8.73,5.65,7.63,8.55
北斗星通,7.12,58.11,16.99,50.77,71.55,11.37,52.4,65.85
金发科技,46.86,16.6,23.89,11.07,18.02,13.19,13.52,17.63
陕西金叶,21.52,3.39,10.91,2.94,3.66,4.41,3.25,3.55
中新集团,3.56,12.18,5.36,11.6,12.92,3.3,11.82,12.62
启迪环境,26,8.58,9.96,7.61,9.3,5.9,8.08,9.09
二六三,2.99,7.31,12.01,6.74,8.58,6.55,7.01,7.99
天安新材,69.22,8.07,14.51,6.55,8.77,11.03,6.84,8.53
海正药业,24.89,18.51,19.56,13.82,20.53,15.54,14.53,19.88
贤丰控股,13.66,3.45,6.59,3.26,3.72,4.3,3.34,3.64
中国天楹,28.28,5.23,8.72,4.76,5.67,6.44,4.87,5.54
沃特股份,7.48,30.86,6.76,28.04,32.1,3.64,29.48,31.71
新通联,25.27,17.2,9.98,16.04,19.6,5.96,16.47,18.55
大东海A,2.18,7.65,9.96,7.04,8.59,5.32,7.17,7.98
万和电气,34.51,8.58,9.29,7.76,9.35,6.3,8.04,9.12
至正股份,34.44,39.96,27.95,25.26,44.86,20.45,28.59,43.29
金陵药业,20.58,7.08,7.98,6.41,7.52,5.61,6.58,7.36
美利云,4.56,7.35,7.39,6.78,7.86,5.03,6.95,7.69
永辉超市,0.71,9.33,7.93,8.73,10.24,5.48,8.91,9.95
科远智慧,24.46,16.67,12.54,13.7,17.62,7.8,14.88,17.39
光威复材,42.86,75.19,24.9,51.33,85.37,16.45,58.96,82.18
渤海汽车,30.23,3.56,13.15,3.07,4,8.23,3.29,3.88
兴蓉环境,64.47,5.04,7.46,4.59,5.33,5.63,4.69,5.25
中山公用,70.02,8.39,9.15,7.39,8.88,7.68,7.5,8.75
杰瑞股份,18.2,31.91,15.09,25.25,34.23,7.56,28.92,33.65
创业环保,21.89,7.26,7.16,6.63,7.66,4.95,6.82,7.52
乐凯胶片,11,7.61,11.91,6.62,8.4,6.54,7.08,8.07
ST人乐,4.88,5.36,6.92,5.18,5.95,3.51,5.22,5.6
龙津药业,0.81,9.37,7.13,8.87,10.24,5.49,9.02,10.07
正海生物,21.03,74.19,20.37,52.23,78.95,12.07,60.7,77.37
海天味业,78.61,124.68,32.63,94.04,185.12,22.72,104.25,165.54
锦江酒店,52.41,37.73,28.7,25.27,45.61,20.86,27.47,41.95
福鞍股份,32.19,12.4,12.81,10.53,13.63,5.75,11.51,12.91
山石网科,1.25,42.69,15.31,38.52,52.45,8.66,39.82,47.37
鹿港文化,38.87,3.54,23.68,2.57,4.16,17.17,2.88,4.07
百大集团,34.66,7.1,9.49,6.5,7.86,6.07,6.75,7.62
湖北广电,6.69,5.59,6.66,5.2,5.94,3.77,5.37,5.79
康强电子,3.52,13.37,6.42,12.41,14.11,4.04,12.84,13.92
派思股份,11.33,10.16,19.53,7.53,11.18,10.23,8.92,10.95
青岛银行,50.05,5.25,7.05,4.88,5.62,2.48,5.12,5.38
三孚股份,28.73,27.08,17.13,22.51,31.82,13.64,23.46,30.87
云天化,36.28,5.46,11.77,4.78,6.05,7.72,5.04,5.88
皖天然气,43.54,10.67,6.87,9.74,11.18,5.33,9.89,11
玲珑轮胎,72.66,23.73,14.54,19.13,25.64,11.66,19.97,25.25
合力泰,44.34,5.33,8.96,5.1,6.1,4.86,5.19,5.72
创业黑马,7.1,25.36,8.98,22.81,27.31,6.6,23.53,26.86
五洲交通,15.78,3.64,5.26,3.42,3.8,2.75,3.54,3.74
东华科技,34.72,7.3,11.03,6.55,8.18,7.09,6.7,7.72
中国海诚,9.99,7.63,9.71,6.97,8.47,6.44,7.23,8.22
一汽解放,55.49,14.04,16.5,10.75,15,5.82,13.13,14.76
中金黄金,45.15,10.76,15.83,8.54,11.76,11.22,9.03,11.31
华谊兄弟,21.88,5.97,23.66,4.15,6.72,14.23,4.84,6.45
雅戈尔,74.04,6.87,11.39,6.06,7.62,8.92,6.23,7.45
山大地纬,6.51,21.89,16.29,19.41,26.97,11.43,20.19,25.4
华神科技,21.9,5.63,16.35,4.9,6.82,8.62,5.22,6.21
华胜天成,1.42,14.16,11.09,12.97,16.2,6.77,13.21,15.12
海泰发展,30,3.7,8.07,3.36,3.95,5.25,3.43,3.81
中原高速,10.37,3.74,4.44,3.55,3.88,2.95,3.62,3.84
长航凤凰,4.79,3.71,4.52,3.59,3.93,2.95,3.62,3.84
宝丰能源,18.94,12.33,18.63,9.17,13.37,11.1,10.41,13.01
兰州民百,14.13,5.85,9.75,5.23,6.36,7.47,5.38,6.25
和顺石油,23.57,70.18,21.17,51.77,79.58,10.84,61.17,76.05
意华股份,1.8,35.66,5.55,33.81,37.79,2.85,34.64,36.68
中粮科技,14.7,9.85,14.62,8.19,10.99,7.05,9,10.37
常青股份,28.64,16.82,31.48,10.13,19.45,16.43,13.16,18.33
华宏科技,9.61,10.16,13.39,8.68,11.37,8.85,9.27,11.07
湖南黄金,34.91,9.3,12.7,7.77,10.03,8.22,8.28,9.76
松炀资源,3.84,13.81,6.3,12.77,14.49,3.95,13.18,14.26
平高电气,0.38,8.25,11.45,7.51,9.45,6.57,7.74,8.83
贵州百灵,34.81,9.56,12.84,8.29,10.73,9.83,8.61,10.48
中粮糖业,34.69,9.51,13.1,7.83,10.19,9.81,8.21,10
ST天成,52.11,1.83,25.08,1.24,2.07,15.29,1.44,1.96
ST科迪,19.57,1.91,6.18,1.78,2.01,3.99,1.81,1.96
中钢天源,4,8.08,9.94,7.4,9.04,6.21,7.76,8.78
中船科技,4.55,14.77,12.62,13.11,16.89,8.95,13.87,16.59
共达电声,12.96,9.63,5.18,9.15,10.15,3.61,9.28,9.98
智动力,7.06,22.44,9.47,20.18,24.4,6,21.09,23.79
绿城水务,39.02,5.64,6.32,5.19,5.89,4.96,5.27,5.82
王子新材,89.24,30.24,37.11,19.07,41.59,30.99,21.1,40.06
德尔未来,15.91,7.8,5.77,7.35,8.25,4.28,7.49,8.16
锦和商业,18.63,11.54,4.95,11.14,12.31,3.29,11.22,11.98
希努尔,65.89,5.54,7.71,5.06,5.9,4.76,5.25,5.78
智度股份,1.09,8.47,11.36,7.76,9.74,7.06,8.07,9.3
中盐化工,11.57,8.13,8.63,7.19,8.55,4.36,7.73,8.43
太阳纸业,80.03,11.87,26.28,8.23,14.1,21.53,8.74,13.54
山西路桥,20.13,3.88,12.85,3.63,4.7,8.11,3.74,4.4
汇嘉时代,14.2,6.26,14.04,5.19,6.88,8.06,5.69,6.68
申通快递,1.03,16.73,7.65,15.98,18.63,5.16,16.33,18.1
城投控股,31.43,5.85,11.4,5.12,6.44,8.22,5.3,6.25
*ST时万,84.78,3.4,13.07,3.06,3.98,8.73,3.19,3.8
正虹科技,14.21,6.11,8.97,5.41,6.48,5.42,5.72,6.37
海信家电,65.22,12.07,26.58,8.92,15.39,19.61,9.79,14.57
清水源,36.63,11.95,13.21,10.07,13.13,8.05,10.77,12.66
经纬辉开,11.63,15.81,19.11,12.98,19.12,15.31,13.47,18.34
仙坛股份,4.06,14.59,6.47,13.39,15.24,4.08,13.88,15.06
双塔食品,8.75,16.9,12.38,14.6,18.72,6.84,15.71,18.02
如通股份,36.65,9.78,7.96,8.77,10.28,6.09,9.01,10.18
广州浪奇,18.46,6.11,8.85,5.53,6.61,5.92,5.69,6.41
博瑞医药,9.64,55.54,13.76,50.07,66.04,7.83,52.35,61.25
鲁  泰Ａ,13.21,7.96,5.6,7.58,8.48,2.71,7.71,8.14
欢瑞世纪,14.3,4.01,9.78,3.83,4.66,5.72,3.87,4.34
*ST华讯,9.45,2.11,32.51,1.89,3.7,12.11,1.97,2.51
